Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","0","0%"
"GALICIA","30-39","2","0,26%"
"GALICIA","40-49","2","0,26%"
"GALICIA","50-59","22","2,85%"
"GALICIA","60-69","47","6,08%"
"GALICIA","70-79","144","18,63%"
"GALICIA","80-89","350","45,28%"
"GALICIA",">=90","206","26,65%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,49%"
"A.S. A CORUÑA E CEE","40-49","1","0,49%"
"A.S. A CORUÑA E CEE","50-59","5","2,44%"
"A.S. A CORUÑA E CEE","60-69","17","8,29%"
"A.S. A CORUÑA E CEE","70-79","45","21,95%"
"A.S. A CORUÑA E CEE","80-89","87","42,44%"
"A.S. A CORUÑA E CEE",">=90","49","23,9%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","0","0%"
"A.S. FERROL","60-69","3","8,82%"
"A.S. FERROL","70-79","10","29,41%"
"A.S. FERROL","80-89","14","41,18%"
"A.S. FERROL",">=90","7","20,59%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","1,1%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","6,59%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","16","17,58%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","42","46,15%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","26","28,57%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","5","3,07%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","6","3,68%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","22","13,5%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","77","47,24%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","53","32,52%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","2","8,7%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","5","21,74%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","5","21,74%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","10","43,48%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","1","4,35%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,83%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,83%"
"A.S. SANTIAGO E BARBANZA","50-59","3","2,5%"
"A.S. SANTIAGO E BARBANZA","60-69","7","5,83%"
"A.S. SANTIAGO E BARBANZA","70-79","21","17,5%"
"A.S. SANTIAGO E BARBANZA","80-89","61","50,83%"
"A.S. SANTIAGO E BARBANZA",">=90","26","21,67%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","0","0%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","0","0%"
"A.S. VIGO","50-59","6","4,38%"
"A.S. VIGO","60-69","3","2,19%"
"A.S. VIGO","70-79","25","18,25%"
"A.S. VIGO","80-89","59","43,07%"
"A.S. VIGO",">=90","44","32,12%"
